"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:14491","MRPL40","mitochondrial ribosomal protein L40","NLVCF","MRP-L22","22q11.21"
"HGNC:14492","MRPL41","mitochondrial ribosomal protein L41","","MRP-L27,RPML27,BMRP,PIG3,MRPL27","9q34.3"
"HGNC:14493","MRPL42","mitochondrial ribosomal protein L42","","MRPS32,MRP-L31,RPML31,PTD007,HSPC204,MRPL31","12q22"
"HGNC:14517","MRPL43","mitochondrial ribosomal protein L43","","bMRP36a","10q24.31"
"HGNC:16650","MRPL44","mitochondrial ribosomal protein L44","","FLJ12701,FLJ13990","2q36.1"
"HGNC:16651","MRPL45","mitochondrial ribosomal protein L45","","MGC11321,Mba1","17q12"
"HGNC:1192","MRPL46","mitochondrial ribosomal protein L46","C15orf4","LIECG2,P2ECSL","15q25.3"
"HGNC:16652","MRPL47","mitochondrial ribosomal protein L47","","CGI-204,NCM1","3q26.33"
"HGNC:16653","MRPL48","mitochondrial ribosomal protein L48","","CGI-118","11q13.4"
"HGNC:1176","MRPL49","mitochondrial ribosomal protein L49","C11orf4","NOF,NOF1,L49mt","11q13.1"
"HGNC:16654","MRPL50","mitochondrial ribosomal protein L50","","FLJ20493,MRP-L50","9q31.1"
"HGNC:14044","MRPL51","mitochondrial ribosomal protein L51","MRP64","CDA09,HSPC241,bMRP64","12p13.31"
"HGNC:16655","MRPL52","mitochondrial ribosomal protein L52","","","14q11.2"
"HGNC:16684","MRPL53","mitochondrial ribosomal protein L53","","","2p13.1"
"HGNC:16685","MRPL54","mitochondrial ribosomal protein L54","","","19p13.3"
"HGNC:16686","MRPL55","mitochondrial ribosomal protein L55","","","1q42.13"
"HGNC:14514","MRPL57","mitochondrial ribosomal protein L57","MRP63","","13q12.11"
"HGNC:14495","MRPS2","mitochondrial ribosomal protein S2","","CGI-91","9q34.3"
"HGNC:14498","MRPS5","mitochondrial ribosomal protein S5","","MRP-S5,S5mt","2q11.1"
"HGNC:14051","MRPS6","mitochondrial ribosomal protein S6","C21orf101","MRP-S6,RPMS6","21q22.11"
"HGNC:14499","MRPS7","mitochondrial ribosomal protein S7","","MRP-S,RP-S7,RPMS7","17q25.1"
"HGNC:14501","MRPS9","mitochondrial ribosomal protein S9","","RPMS9,MRP-S9,S9mt","2q12.1"
"HGNC:14502","MRPS10","mitochondrial ribosomal protein S10","","FLJ10567","6p21.1"
"HGNC:14050","MRPS11","mitochondrial ribosomal protein S11","","FLJ23406,HCC-2,FLJ22512","15q25.3"
"HGNC:10380","MRPS12","mitochondrial ribosomal protein S12","RPMS12","RPS12,RPSM12","19q13.2"
"HGNC:14049","MRPS14","mitochondrial ribosomal protein S14","","HSMRPS14","1q25.1"
"HGNC:14504","MRPS15","mitochondrial ribosomal protein S15","","FLJ11564","1p34.3"
"HGNC:14048","MRPS16","mitochondrial ribosomal protein S16","","CGI-132","10q22.2"
"HGNC:14047","MRPS17","mitochondrial ribosomal protein S17","","HSPC011,RPMS17,MRP-S17","7p11.2"
"HGNC:14515","MRPS18A","mitochondrial ribosomal protein S18A","","FLJ10548,MRPS18-3","6p21.1"
"HGNC:14516","MRPS18B","mitochondrial ribosomal protein S18B","","MRPS18-2,PTD017,C6orf14,HSPC183","6p21.33"
