Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
PTH2	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Brain)	Parathyroid Hormone Family
INSL5	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Colon)	Insulin-Like Family
NPPA	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Natriuretic Peptide Family
NPPB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Natriuretic Peptide Family
UCN2	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Urocortin Family
EPO	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Kidney)	Erythropoietin Family
AGT	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Liver)	Angiotensinogen Family
IGF2	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Liver)	Insulin-Like Growth Factor Family
THPO	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Liver)	Thrombopoietin Family
OSTN	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Musculoskeletal System)	Osteocrin Family
GCG	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pancreas)	Glucagon Family
IAPP	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pancreas)	Amylin Family
INS	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pancreas)	Insulin Family
PPY	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pancreas)	Pancreatic Polypeptide Family
SST	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pancreas)	Somatostatin Family
PTH	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Parathyroid Gland)	Parathyroid Hormone Family
CGA	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	"Glycoprotein Hormones, Alpha Polypeptide Family"
FSHB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Gonadotropin Family
GH1	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Growth Hormone Family
LHB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Gonadotropin Family
POMC	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Pro-Opiomelanocortin Family
PRL	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Prolactin Family
TSHB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Pituitary Gland)	Thyrotropin Family
CCK	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Cholecystokinin Family
GAL	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Galanin Family
GIP	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Gastric Inhibitory Polypeptide Family
NMB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Bombesin-Like Peptide Family
PYY	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Pancreatic Polypeptide Family
VIP	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Small Intestine)	Vasoactive Intestinal Peptide Family
GHRL	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Stomach)	Ghrelin Family
INSL3	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Testis)	Insulin-Like Family
SCT	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Thyroid Gland)	Secretin Family
RLN1	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Uterus)	Relaxin/Insulin-Like Family
UTS2	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Various Tissues)	Urotensin II Family
UTS2B	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Various Tissues)	Urotensin II Family
PTHLH	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Various Tissues)	Parathyroid Hormone Family
ENHO	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone-like (Adipose Tissue)	Energy Homeostasis Associated Protein Family
ADM	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Adrenomedullin Family
APELA	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Apelin Family
APLN	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone (Heart)	Apelin Family
CALCA	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone-like (Thyroid)	Calcitonin Family
CALCB	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone-like (Thyroid)	Calcitonin Family
GUCA2A	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone like (Gut)	Guanylate Cyclase Activator Family
GUCA2B	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone like (Gut)	Guanylate Cyclase Activator Family
GHRH	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone/Neuropeptide (Hypothalamus)	Growth Hormone-Releasing Hormone Family
GNRH1	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone/Neuropeptide (Hypothalamus)	Gonadotropin-Releasing Hormone Family
PRLH	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone/Neuropeptide (Hypothalamus)	Prolactin-Releasing Hormone Family
TRH	Secreted Signaling	Hormones & Neuropeptides	Hormone	Hormone/Neuropeptide (Hypothalamus)	Thyrotropin-Releasing Hormone Family
AVP	Secreted Signaling	Hormones & Neuropeptides	Hormone/Neuropeptide	Hormone/Neuropeptide (Hypothalamus)	Vasopressin Family
