Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
NPFF	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuropeptide FF Family
NPS	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuropeptide S Family
NPVF	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	RFamide Peptide Family
NPW	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Neuropeptide B/W Family
PDYN	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Dynorphin Family
PENK	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Enkephalin Family
PROK2	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Prokineticin Family
TAC1	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Tachykinin Family
TAC3	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Tachykinin Family
KISS1	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Kisspeptin Family
TAC4	Secreted Signaling	Hormones & Neuropeptides	Neuropeptide	Neuropeptide (Brain)	Tachykinin Family
BDNF	Secreted Signaling	Growth Factors & Cytokines	Neurotrophins	Neurotrophins	Neurotrophin
NGF	Secreted Signaling	Growth Factors & Cytokines	Neurotrophins	Neurotrophins	Nerve growth factor family
NTF3	Secreted Signaling	Growth Factors & Cytokines	Neurotrophins	Neurotrophins	Neurotrophin
NTF4	Secreted Signaling	Growth Factors & Cytokines	Neurotrophins	Neurotrophins	Neurotrophin
DLL1	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Delta/Serrate/LAG-2 (DSL) family
DLL3	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Delta/Serrate/LAG-2 (DSL) family
DLL4	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Delta/Serrate/LAG-2 (DSL) family
JAG1	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Delta/Serrate/LAG-2 (DSL) family
JAG2	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Delta/Serrate/LAG-2 (DSL) family
DLK1	Cell-Cell Contact	Developmental	Notch	Notch Signaling	Notch/Delta/Serrate/LAG-2 (DSL) Family
PROS1	Secreted Signaling	Other	Other	Coagulation factor	Vitamin K-dependent Protein Family
CLCF1	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	IL-6 Family
CNTF	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	IL-6 Family
CTF1	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	IL-6 Family
LIF	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	IL-6 Family
OSM	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	IL-6 Family
TSLP	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Other Interleukins
LEP	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Leptin family
ADIPOQ	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Adipokine Family
MIF	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	MIF family
SCGB3A2	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Secretoglobin family
SLURP1	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Ly6/uPAR family
SLURP2	Secreted Signaling	Growth Factors & Cytokines	Other Cytokines	Other Cytokines	Ly6/uPAR family
GAS6	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Vitamin K-dependent proteins
GRN	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Granulin
HGF	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Hepatocyte growth factor family
KITLG	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Stem cell factor
MDK	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Midkine
PROK1	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Prokineticin
PTN	Secreted Signaling	Growth Factors & Cytokines	Other GFs	Other Growth Factors	Pleiotrophin
CD209	Cell-Cell Contact	CAM	Other_CAM	Other Cell Adhesion Proteins	-
